Student_ID,Student_Name,Age,Degree_Program,Python_Score,Mathematics_Score,Statistics_Score,ML_Score,Attendance_Percentage,Average_Score,Performance
S001,Ali Khan,20,AI,85,78,92,88,95.0,85.75,Good
S002,Sara Ahmed,21,AI,72,75,70,80,90.0,74.25,Average
S003,Ahmed Raza,22,SE,90,88,91,93,96.0,90.5,Excellent
S004,Fatima Noor,20,DS,65,70,68,72,85.0,68.75,Needs Improvement
S005,Usman Ali,21,AI,78,82,80,76,88.0,79.0,Average
S006,Ayesha Malik,22,SE,95,94,96,97,99.0,95.5,Excellent
S007,Hassan Tariq,20,DS,55,60,58,62,75.0,58.75,Needs Improvement
S008,Zainab Iqbal,21,AI,88,86,90,91,94.0,88.75,Good
S009,Bilal Ahmed,23,SE,73,77,75,79,82.0,76.0,Average
S010,Maryam Khan,20,DS,81,84,79,85,91.0,82.25,Good
S011,Hamza Siddiqui,22,AI,69,71,74,70,87.0,71.0,Average
S012,Noor Fatima,21,SE,92,90,93,95,98.0,92.5,Excellent
S013,Talha Javed,20,DS,76,74,78,80,89.0,77.0,Average
S014,Iqra Aslam,22,AI,84,83,86,88,92.0,85.25,Good
S015,Danish Ali,23,SE,61,65,63,67,78.0,64.0,Needs Improvement
S016,Hira Shah,21,DS,89,91,88,90,96.0,89.5,Good
S017,Omar Farooq,20,AI,74,72,76,78,84.0,75.0,Average
S018,Laiba Khan,22,SE,97,95,98,99,100.0,97.25,Excellent
S019,Abdullah,21,DS,68,66,70,72,80.0,69.0,Needs Improvement
S020,Mehwish,20,AI,86,89,87,90,93.0,88.0,Good
